NUM,DESCRIPTION,HEIGHT,LEN,WIDTH,WEIGHT,PRICE
123Dummy Part321,,0.0,0.0,0.0,0.0,0.0
ALF-NTBL-200-A-DRK - Void,Manicure Table - IMC Vented,0.0,0.0,0.0,125.0,375.0
AYC-SPA-VIGGO,VIGGO Pedicure Tub,0.0,0.0,0.0,90.0,550.0
ALF-NTBL-200-A-WH - Void,Manicure Table - IMC Vented,0.0,0.0,0.0,125.0,375.0
ALF-NTBL-200-B-DRK - Void,Manicure Table - IMC Vented Marble Top,0.0,0.0,0.0,30.0,100.0
ALF-NTBL-200-B-WH - Void,Manicure Table - IMC Vented Marble Top,0.0,0.0,0.0,30.0,100.0
00-ALI-CTRLB-001,Control Box - 1 Outlet UL with 2min Timer,1.75,4.25,3.0,0.5,28.0
00-ALI-CTRLB-007,Control Box - 3 Air and 1 Continuous Outlets UL,3.0,12.0,7.5,2.0,28.0
HAI-CUCHR-11803-BG,AVION Customer Chair (Burgundy),25.0,16.0,32.5,37.0,95.0
HAI-CUCHR-11803-BLK,AVION Customer Chair (Black),25.0,16.0,32.5,37.0,95.0
HAI-CUCHR-11803-CPO,AVION Customer Chair (Cappuccino),25.0,16.0,32.5,37.0,95.0
HAI-PDSTL-001-BLK,TERRELL Pedicure Stool (Black),20.5,5.5,21.0,22.0,25.0
HAI-PDSTL-001-WH,TERRELL Pedicure Stool (White),20.5,5.5,21.0,22.0,25.0
HAI-PDSTL-10312-BG,DAYTON Pedicure Stool (Burgundy),18.5,18.5,10.5,19.0,35.0
HAI-PDSTL-10312-CFE,DAYTON Pedicure Stool (Coffee),18.5,18.5,10.5,19.0,35.0
HAI-PDSTL-10312-CPO,DAYTON Pedicure Stool (Cappuccino),18.5,18.5,10.5,19.0,35.0
HAI-PDSTL-10312-RD,DAYTON Pedicure Stool (Red),18.5,18.5,10.5,19.0,35.0
HAI-PDSTL-10412-BG,TOTO Pedicure Stool (Burgundy),21.0,26.0,12.0,15.0,45.0
HAI-PDSTL-10412-BLK - Inactive,TOTO Pedicure Stool (Black),21.0,26.0,12.0,15.0,45.0
HAI-PDSTL-10412-CPO - Inactive,TOTO Pedicure Stool (Cappuccino),21.0,26.0,12.0,15.0,45.0
HAI-PDSTL-10412-RD,TOTO Pedicure Stool (Red),21.0,26.0,12.0,15.0,45.0
HAI-PDSTL-10511-BG,HARMONY Pedicure Stool (Burgundy),11.0,22.0,21.0,15.0,52.0
HAI-PDSTL-10511-BLK,HARMONY Pedicure Stool (Black),10.5,22.0,21.0,15.0,52.0
HAI-PDSTL-10511-CPO,HARMONY Pedicure Stool (Cappuccino),11.0,22.0,21.0,15.0,52.0
HAI-PDSTL-10511-RD,HARMONY Pedicure Stool (Red),11.0,22.0,21.0,15.0,52.0
MIN-CUCHR-IS-GY,Isobella Customer Chair (Gray),20.0,27.0,27.0,50.0,233.33
HAI-PDSTL-10612-BG,UMI Pedicure Stool (Burgundy),19.0,21.0,13.0,16.0,40.0
KAM-NTBL-092-A-BLK,Fiona Nail Table Top Black,10.875,46.625,20.0,43.0,90.95
HAI-PDSTL-10612-BLK,UMI Pedicure Stool (Black),19.0,21.0,13.0,16.0,40.0
HAI-CUCHR-11801-BLK,BIRCH Customer Chair (Black),25.0,27.0,15.0,40.0,149.0
HAI-CUCHR-11801-CPO,BIRCH Customer Chair (Cappuccino),25.0,27.0,15.0,40.0,149.0
HAI-PDSTL-10612-CPO,UMI Pedicure Stool (Cappuccino),19.0,21.0,13.0,16.0,40.0
HAI-PDSTL-10612-RD,UMI Pedicure Stool (Red),19.0,21.0,13.0,16.0,40.0
00-DON-PMP-5679,Styling Chair Pump,9.5,17.5,11.0,28.0,60.0
HAI-TCSTL-104-BLK - Void,TOTO Technician Stool (Black),18.0,25.5,11.0,15.0,50.0
00-KAN-TCHRARM-906,906D Armrest with Tray,9.0,28.0,15.0,25.0,95.0
HAI-TCSTL-637-BG,ALICE Technician Stool (Burgundy),11.0,21.0,21.0,18.0,48.0
HAI-TCSTL-637-BLK,ALICE Technician Stool (Black),11.0,21.0,21.0,18.0,48.0
HAI-TCSTL-637-CPO,ALICE Technician Stool (Cappuccino),11.0,21.0,21.0,18.0,48.0
HAI-TCSTL-666-BLK,KIPP Technician Stool (Black),22.0,23.0,11.5,22.0,54.0
BJI-KPCH-9285,KEEN Sterilization Pouches,13.0,15.5,11.5,27.0,80.0
00-BAL-FIT-436102,Fitting - Reducing Male Adapter,2.0,1.75,1.75,1.0,3.1
HAI-CUCHR-11801-BG,BIRCH Customer Chair (Burgundy),25.0,27.0,15.0,40.0,149.0
00-KAN-RMT-700,SHIATSULOGIC CX Vibration Massage Chair - Remote Controller,1.0,12.5,3.5,1.0,55.0
00-BAL-FIT-20206,Fitting - Micro Jet Fitting,1.75,1.75,1.75,1.0,3.5
00-BAL-FIT-20214,Fitting - Macro Wall Fitting,0.75,1.5,1.5,1.0,3.1
00-BAL-FIT-409005,Fitting - Elbow Connector,1.25,2.0,1.5,1.0,1.95
00-BAL-FIT-435005,Fitting - Female Adapter,1.5,1.25,1.25,1.0,2.95
BAO-TUB-012-BLK,VIGGO Pedicure Tub - Raw Base (Black),18.0,52.0,26.0,70.0,395.0
BAO-TUB-012-WH,VIGGO Pedicure Tub - Raw Base (White),18.0,52.0,26.0,70.0,395.0
HAI-TCSTL-10412-CPO,TOTO Technician Stool (Cappuccino),21.0,26.0,12.0,15.0,55.0
DON-NTBL-2714-MPL,TAYLOR Foldable Manicure Table (Maple),32.0,23.0,23.0,80.0,172.0
BAO-TUB-025-BLKCSND - Void,SERENITY Pedicure Tub - Raw Base (Black - Coastal Sand),18.5,53.0,26.5,80.0,395.0
BAO-TUB-025-MSNDCSND,SERENITY Pedicure Tub - Raw Base (Moroccan Sand - Coastal Sand),18.5,53.0,26.5,76.0,425.0
